year / année,site / site,station / station,latitude / latitude,longitude / longitude,number of samples / nombre d'échantillons,mean water temperature / température moyenne de l'eau,mean salinity / salinité moyenne,mean dissolved oxygen / oxygène dissous moyen,total species observed / total des espèces observées,total yoy measured / total des jeunes mesurés,total adults measured / total des adultes mesurés,SAV was reported / VAS a été rapporté
2014,Pokemouche (NB),Pointe des Mazeroles,47.67109,-64.8083,3,19.633,10.293,8.057,21,21,2800,True
2015,Pokemouche (NB),Pointe des Mazeroles,47.67109,-64.8083,3,19.967,19.913,7.943,21,94,2242,True
2016,Pokemouche (NB),Pointe des Mazeroles,47.67109,-64.8083,3,17.2,10.7,6.467,24,50,3179,True
2017,Pokemouche (NB),Pointe des Mazeroles,47.67109,-64.8083,3,18.2,17.33,8.883,25,53,1047,True
2018,Pokemouche (NB),Pointe des Mazeroles,47.67109,-64.8083,1,13.4,11.96,11.72,7,0,287,True
2019,Pokemouche (NB),Pointe des Mazeroles,47.67109,-64.8083,1,16.9,17.7,9.55,7,0,181,True
2014,Enmore (PE),Portage Shore,46.578,-64.05475,3,19.5,25.033,7.78,16,6913,2035,True
2015,Enmore (PE),Portage Shore,46.578,-64.05475,3,22.4,26.94,8.953,14,300,413,True
2016,Enmore (PE),Portage Shore,46.578,-64.05475,3,19.6,25.3,7.123,12,538,1250,True
2017,Enmore (PE),Portage Shore,46.578,-64.05475,3,22.1,25.613,7.243,16,504,717,False
2018,Enmore (PE),Portage Shore,46.578,-64.05475,1,16.5,21.8,7.8,9,1,184,False
2019,Enmore (PE),Portage Shore,46.578,-64.05475,1,17.8,21.42,8.47,10,0,240,True
2004,Pictou (NS),Power Plant,45.62596,-62.64932,5,23.52,20.28,7.934,20,617,632,True
2005,Pictou (NS),Power Plant,45.62596,-62.64932,4,24.4,21.05,10.488,11,2301,10269,True
2006,Pictou (NS),Power Plant,45.62596,-62.64932,5,22.64,19.98,8.012,26,206,1640,True
2007,Pictou (NS),Power Plant,45.62596,-62.64932,5,23.0,19.14,9.35,28,1102,2463,True
2008,Pictou (NS),Power Plant,45.62596,-62.64932,5,24.98,19.76,6.124,34,12228,4327,True
2009,Pictou (NS),Power Plant,45.62596,-62.64932,5,22.92,21.82,7.6,30,2852,2393,True
2010,Pictou (NS),Power Plant,45.62596,-62.64932,5,23.7,21.54,6.722,26,6,2590,True
2011,Pictou (NS),Power Plant,45.62596,-62.64932,3,24.9,19.3,6.155,17,861,7712,True
2012,Pictou (NS),Power Plant,45.62596,-62.64932,3,28.833,16.877,6.287,12,47,1968,True
2013,Pictou (NS),Power Plant,45.62596,-62.64932,3,24.9,22.64,5.61,14,1102,1077,True
2014,Pictou (NS),Power Plant,45.62596,-62.64932,3,26.967,20.917,6.993,12,93,1594,True
2015,Pictou (NS),Power Plant,45.62596,-62.64932,3,26.633,12.837,7.113,19,1283,2814,True
2016,Pictou (NS),Power Plant,45.62596,-62.64932,3,24.533,19.693,6.623,13,67,1129,True
2017,Pictou (NS),Power Plant,45.62596,-62.64932,3,27.933,24.023,6.647,8,71,1218,True
2018,Pictou (NS),Power Plant,45.62596,-62.64932,1,22.7,9.56,9.61,5,2,478,True
2019,Pictou (NS),Power Plant,45.62596,-62.64932,1,28.3,6.41,8.42,7,1,372,False
2004,Mabou (NS),Priest Point,46.073633,-61.405183,5,16.38,20.36,8.686,53,1187,1155,True
2005,Mabou (NS),Priest Point,46.073633,-61.405183,5,17.58,19.9,9.25,37,4,396,True
2006,Mabou (NS),Priest Point,46.073633,-61.405183,5,18.28,21.62,7.872,51,247,765,True
2007,Mabou (NS),Priest Point,46.073633,-61.405183,5,16.72,11.68,8.068,51,42,499,True
2008,Mabou (NS),Priest Point,46.073633,-61.405183,5,19.26,19.02,10.932,50,1175,1300,True
2009,Mabou (NS),Priest Point,46.073633,-61.405183,5,20.046,24.086,9.788,43,59,374,True
2010,Mabou (NS),Priest Point,46.073633,-61.405183,5,20.382,19.894,8.28,46,107,830,True
2011,Mabou (NS),Priest Point,46.073633,-61.405183,4,17.625,20.35,10.067,38,18,289,True
2012,Mabou (NS),Priest Point,46.073633,-61.405183,3,20.567,25.807,6.93,21,2,232,True
2013,Mabou (NS),Priest Point,46.073633,-61.405183,3,21.533,22.167,8.127,19,297,35,True
2014,Mabou (NS),Priest Point,46.073633,-61.405183,3,19.2,12.877,8.117,23,143,128,True
2015,Mabou (NS),Priest Point,46.073633,-61.405183,3,17.6,18.527,8.7,31,18,182,True
2016,Mabou (NS),Priest Point,46.073633,-61.405183,3,19.9,19.327,7.993,32,49,260,True
2017,Mabou (NS),Priest Point,46.073633,-61.405183,3,21.167,22.443,9.457,34,21,395,True
2018,Mabou (NS),Priest Point,46.073633,-61.405183,1,24.0,10.54,8.75,13,2,199,True
2019,Mabou (NS),Priest Point,46.073633,-61.405183,1,19.8,16.36,8.75,10,73,106,True
2004,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,5,13.96,27.558,9.134,30,368,2611,True
2005,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,5,17.52,25.82,8.883,29,104,1219,True
2006,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,5,16.96,28.1,9.084,30,201,963,True
2007,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,5,23.04,26.7,9.65,28,394,2570,True
2008,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,5,20.02,25.92,10.76,28,2419,2607,True
2009,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,2,10.0,24.95,11.63,12,0,473,True
2010,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,5,18.3,28.12,8.19,33,80,2900,True
2011,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,3,22.9,23.45,10.8,17,545,981,True
2012,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,3,22.333,27.467,7.393,18,29,6341,True
2013,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,3,21.5,25.033,10.293,19,532,1044,True
2014,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,3,20.933,22.963,8.403,21,304,994,True
2015,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,3,19.733,25.98,8.96,19,195,319,True
2016,Shippagan (NB),Pt. Sauvage,47.732,-64.684004,3,17.867,23.53,7.977,17,463,1149,True
2004,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,5,17.506,24.052,7.98,47,615,4018,True
2005,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,5,19.268,20.068,7.838,47,246,4622,True
2006,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,5,19.2,21.36,6.688,42,16,2513,True
2007,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,5,19.74,20.58,8.074,42,2858,6052,True
2008,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,5,17.9,20.28,8.428,44,948,5437,True
2009,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,5,19.36,17.86,8.56,47,768,5061,True
2010,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,5,18.92,21.04,7.828,48,510,1860,True
2011,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,3,21.333,17.533,7.89,30,1429,1753,True
2012,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,3,21.067,21.78,7.113,28,75,1084,True
2013,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,3,22.233,17.61,9.07,36,225,679,True
2014,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,3,22.367,19.677,8.333,24,399,563,True
2015,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,3,18.833,20.017,8.903,31,61,816,True
2016,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,3,20.433,18.407,8.187,26,24,785,True
2017,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,3,20.633,18.543,8.16,33,526,2627,True
2018,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,1,15.1,20.52,8.57,8,1,367,True
2019,Bouctouche (NB),Pub by the bridge,46.471865,-64.719819,1,0,0,0,13,21,316,True
2005,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,5,17.94,22.44,10.752,15,307,401,True
2006,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,5,20.34,25.275,11.384,15,0,1708,True
2007,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,5,18.04,23.54,9.704,19,671,589,True
2008,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,5,16.06,20.4,10.512,23,225,485,True
2009,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,5,19.72,17.8,10.086,20,39,1568,True
2010,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,5,16.3,25.825,10.236,13,12,538,True
2011,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,3,19.033,18.967,8.35,15,1120,850,True
2012,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,3,17.533,23.6,7.52,12,24,544,True
2013,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,3,17.9,22.393,10.087,16,452,190,True
2014,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,3,17.567,21.06,8.66,17,88,1246,True
2015,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,3,19.133,24.723,8.047,20,219,1228,True
2016,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,3,18.733,22.033,7.333,20,58,1461,True
2017,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,3,20.5,22.183,7.65,13,597,65,False
2018,Tracadie (NB),Quai Val Comeau,47.464352,-64.886087,1,12.8,26.8,9.2,5,0,194,False
2009,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,5,18.58,25.06,8.13,27,259,2208,True
2010,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,5,17.74,26.9,6.802,11,41,107,True
2011,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,3,18.467,23.933,8.187,11,365,6747,True
2012,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,3,19.0,26.267,6.2,11,474,510,True
2013,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,3,19.633,26.383,9.95,16,477,2021,True
2014,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,3,21.333,25.22,8.757,18,93,918,True
2015,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,3,17.433,26.237,10.113,14,19,1000,True
2016,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,3,18.9,25.167,7.857,15,2536,1141,True
2017,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,3,18.7,24.87,8.57,18,574,6044,True
2018,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,1,14.9,25.62,10.1,7,0,316,True
2019,Hillsborough (PE),Queen Elizabeth Park,46.2482,-63.1535,1,16.8,26.37,9.33,5,0,957,False
2019,Winter River (PE),Queen's Point road 100%,46.390168,-63.004063,3,17.967,25.983,7.947,19,301,2906,True
2009,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,5,17.58,26.22,8.36,33,301,2735,True
2010,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,5,17.2,26.78,6.972,29,826,1080,True
2011,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,3,18.367,27.567,7.587,20,280,631,True
2012,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,3,20.9,28.017,7.903,20,566,1076,True
2013,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,3,21.033,27.72,7.34,23,56,2206,True
2014,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,3,18.8,26.053,8.037,23,96,836,True
2015,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,3,20.3,27.903,9.243,24,104,424,True
2016,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,3,18.767,26.2,7.177,19,123,685,True
2017,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,3,21.2,25.353,7.557,22,84,637,True
2018,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,1,21.7,26.81,6.49,10,29,129,True
2019,Malpèque Bay (PE),Ramsay Farm,46.5862,-63.852168,1,20.0,26.0,6.69,7,24,36,True
2008,Desable River (PE),Redcliff,46.189055555555555,-63.4369444444444,5,17.8,26.24,9.836,22,714,1324,True
2009,Desable River (PE),Redcliff,46.189055555555555,-63.4369444444444,5,17.42,27.0,8.464,19,24,1588,True
2010,Desable River (PE),Redcliff,46.189055555555555,-63.4369444444444,5,15.975,26.85,8.383,17,1591,178,True
2011,Desable River (PE),Redcliff,46.189055555555555,-63.4369444444444,3,15.0,25.4,7.493,4,1,50,True
2012,Desable River (PE),Redcliff,46.189055555555555,-63.4369444444444,3,19.467,27.1,7.553,11,2,494,False
2013,Desable River (PE),Redcliff,46.189055555555555,-63.4369444444444,3,18.9,27.703,7.72,14,63,84,True
2014,Desable River (PE),Redcliff,46.189055555555555,-63.4369444444444,3,18.1,27.337,8.37,7,28,25,True
2004,Mill River (PE),Resort,46.749806,-64.151997,5,17.33,21.396,7.738,36,934,4335,True
2005,Mill River (PE),Resort,46.749806,-64.151997,5,18.74,18.78,6.04,34,3263,2805,True
2006,Mill River (PE),Resort,46.749806,-64.151997,5,18.94,23.14,6.334,35,2448,2686,True
2007,Mill River (PE),Resort,46.749806,-64.151997,5,19.04,23.52,7.154,16,181,3884,True
2008,Mill River (PE),Resort,46.749806,-64.151997,5,16.3,17.3,9.164,32,407,5335,True
2009,Mill River (PE),Resort,46.749806,-64.151997,5,17.98,15.748,7.928,21,1662,2587,True
2010,Mill River (PE),Resort,46.749806,-64.151997,5,19.2,19.46,8.8,30,4016,7269,True
2011,Mill River (PE),Resort,46.749806,-64.151997,3,20.1,21.467,6.353,19,482,1120,True
2012,Mill River (PE),Resort,46.749806,-64.151997,3,22.3,23.633,11.72,8,1888,205,True
2013,Mill River (PE),Resort,46.749806,-64.151997,3,20.7,13.025,6.095,12,127,276,True
2014,Mill River (PE),Resort,46.749806,-64.151997,3,22.033,21.453,8.943,11,6459,3175,True
2015,Mill River (PE),Resort,46.749806,-64.151997,3,21.167,14.467,13.257,14,1020,625,True
2016,Mill River (PE),Resort,46.749806,-64.151997,3,21.833,20.7,9.403,15,1413,4129,True
2017,Mill River (PE),Resort,46.749806,-64.151997,3,21.2,22.45,7.24,11,23,1156,True
2018,Mill River (PE),Resort,46.749806,-64.151997,1,18.2,22.29,8.07,9,119,5976,True
2019,Mill River (PE),Resort,46.749806,-64.151997,1,0,0,0,0,0,0,False
2005,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,4,19.75,27.35,8.027,15,0,2209,True
2006,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,2,20.3,27.05,8.235,9,16,157,False
2007,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,5,16.46,27.7,8.444,18,16,3298,True
2008,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,5,16.86,26.12,8.868,16,160,2797,True
2009,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,5,14.58,27.26,9.118,22,498,2829,True
2010,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,5,19.6,26.68,7.64,20,883,894,True
2011,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,3,16.767,27.767,7.797,11,7,1437,True
2012,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,3,21.267,26.3,8.763,10,21,1483,False
2013,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,3,20.6,27.55,9.873,13,119,2693,True
2014,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,3,20.233,27.347,9.24,11,0,1922,True
2015,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,3,20.9,26.85,10.58,11,144,446,True
2016,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,3,17.5,26.267,8.08,8,3,618,True
2017,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,3,17.3,27.07,8.053,8,14,432,False
2018,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,1,15.1,27.45,8.56,5,0,30,False
2019,Brudenell-Montague (PE),Richmond Street,46.181156,-62.539139,1,15.4,27.38,8.74,2,0,5,True
2004,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,2,20.845,21.89,8.09,12,510,15854,True
2006,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,5,18.26,19.22,7.964,39,148,1257,True
2007,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,5,18.52,17.44,6.63,53,605,2644,True
2008,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,5,17.98,12.8,8.33,43,834,3287,True
2009,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,5,18.88,17.18,7.922,53,2171,4219,True
2010,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,5,18.78,19.94,8.302,60,730,5606,True
2011,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,3,21.3,10.533,6.95,33,280,2444,True
2012,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,3,21.633,21.033,6.99,30,610,658,True
2013,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,3,20.6,14.483,8.513,36,1582,1454,True
2014,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,3,21.0,13.693,8.143,36,390,495,True
2015,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,3,20.367,18.65,7.283,30,497,1736,True
2016,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,3,19.167,15.967,7.73,32,2440,3847,True
2017,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,3,21.6,20.163,7.577,35,591,1528,True
2018,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,1,16.2,19.52,9.66,8,1,64,False
2019,Tabusintac (NB),Right side of wharf,47.340217,-64.972078,1,20.0,18.9,8.84,12,38,1586,True
2009,Bathurst Harbour (NB),Roadside,47.64439,-65.6052,5,18.98,16.44,7.466,34,375,2422,True
2010,Bathurst Harbour (NB),Roadside,47.64439,-65.6052,2,21.53,23.65,7.285,11,71,312,True
2011,Bathurst Harbour (NB),Roadside,47.64439,-65.6052,3,18.533,14.067,5.97,19,7,667,True
2009,Hillsborough (PE),Rocky Point,46.20736,-63.14716,5,16.02,26.5,8.492,29,427,1263,True
2010,Hillsborough (PE),Rocky Point,46.20736,-63.14716,5,16.54,27.12,7.826,24,201,304,True
2011,Hillsborough (PE),Rocky Point,46.20736,-63.14716,3,16.7,21.967,7.9,18,57,1175,True
2012,Hillsborough (PE),Rocky Point,46.20736,-63.14716,3,18.333,22.967,7.875,14,67,102,True
2013,Hillsborough (PE),Rocky Point,46.20736,-63.14716,3,17.767,26.987,9.673,22,392,3553,True
2014,Hillsborough (PE),Rocky Point,46.20736,-63.14716,3,17.567,26.82,9.94,9,284,3003,True
2015,Hillsborough (PE),Rocky Point,46.20736,-63.14716,3,15.433,27.277,10.38,12,20,42,True
2016,Hillsborough (PE),Rocky Point,46.20736,-63.14716,3,17.5,26.0,7.79,14,548,386,True
2017,Hillsborough (PE),Rocky Point,46.20736,-63.14716,3,17.133,27.103,8.5,13,34,127,True
2018,Hillsborough (PE),Rocky Point,46.20736,-63.14716,1,12.9,26.89,10.38,4,0,65,True
2019,Hillsborough (PE),Rocky Point,46.20736,-63.14716,1,14.6,0.36,11.12,4,0,106,False
2004,Lameque (NB),Roger Noel,47.782426,-64.641109,5,15.748,25.116,7.554,28,1436,2068,True
2005,Lameque (NB),Roger Noel,47.782426,-64.641109,5,17.82,22.12,7.322,21,324,720,True
2006,Lameque (NB),Roger Noel,47.782426,-64.641109,5,17.26,25.94,7.288,29,114,2098,True
2007,Lameque (NB),Roger Noel,47.782426,-64.641109,5,17.46,24.82,7.92,26,79,610,True
2008,Lameque (NB),Roger Noel,47.782426,-64.641109,5,18.04,20.44,9.934,30,44,890,True
2009,Lameque (NB),Roger Noel,47.782426,-64.641109,5,14.76,22.84,8.728,34,63,1649,True
2010,Lameque (NB),Roger Noel,47.782426,-64.641109,5,17.36,27.3,7.15,28,14,2851,True
2011,Lameque (NB),Roger Noel,47.782426,-64.641109,3,18.9,17.767,8.7,24,15,1524,True
2012,Lameque (NB),Roger Noel,47.782426,-64.641109,3,21.633,24.267,7.0,20,27,2559,True
2013,Lameque (NB),Roger Noel,47.782426,-64.641109,3,18.867,24.74,8.993,20,156,1562,True
2014,Lameque (NB),Roger Noel,47.782426,-64.641109,3,18.767,20.183,7.82,20,86,608,True
2015,Lameque (NB),Roger Noel,47.782426,-64.641109,3,19.767,24.017,9.18,18,110,612,True
2018,Lameque (NB),Roger Noel,47.782426,-64.641109,1,17.9,24.15,7.39,9,0,157,False
2019,Lameque (NB),Roger Noel,47.782426,-64.641109,1,24.0,23.58,11.56,9,4,128,True
2009,Tatamagouche (NS),Rollie's,45.75675,-63.084417,5,16.82,26.34,7.854,21,23,547,True
2010,Tatamagouche (NS),Rollie's,45.75675,-63.084417,5,17.32,26.146,7.348,21,227,252,True
2011,Tatamagouche (NS),Rollie's,45.75675,-63.084417,3,20.867,26.733,10.83,11,36,1193,True
2012,Tatamagouche (NS),Rollie's,45.75675,-63.084417,3,23.867,26.813,8.717,9,0,266,False
2013,Tatamagouche (NS),Rollie's,45.75675,-63.084417,3,21.033,26.99,9.083,10,124,3289,True
2014,Tatamagouche (NS),Rollie's,45.75675,-63.084417,3,22.367,27.047,8.25,10,1,88,True
2015,Tatamagouche (NS),Rollie's,45.75675,-63.084417,3,19.533,27.847,7.963,11,7,38,True
2016,Tatamagouche (NS),Rollie's,45.75675,-63.084417,3,20.967,27.86,8.637,12,48,112,True
2017,Tatamagouche (NS),Rollie's,45.75675,-63.084417,2,18.85,26.98,8.1,6,1,191,False
2018,Tatamagouche (NS),Rollie's,45.75675,-63.084417,1,23.0,24.2,8.3,6,0,1572,True
2019,Tatamagouche (NS),Rollie's,45.75675,-63.084417,1,20.1,22.26,8.35,3,0,13,False
2004,Bouctouche (NB),Route 11,46.462419,-64.726601,5,17.188,23.94,7.956,53,674,7351,True
2005,Bouctouche (NB),Route 11,46.462419,-64.726601,5,20.026,19.788,7.972,55,750,6989,True
2006,Bouctouche (NB),Route 11,46.462419,-64.726601,5,19.88,22.06,7.478,54,14,3345,True
2007,Bouctouche (NB),Route 11,46.462419,-64.726601,5,21.06,21.38,7.485,50,1667,7454,True
2008,Bouctouche (NB),Route 11,46.462419,-64.726601,5,19.1,18.84,8.06,52,2616,6649,True
2009,Bouctouche (NB),Route 11,46.462419,-64.726601,5,20.32,17.74,11.124,52,483,10197,True
2010,Bouctouche (NB),Route 11,46.462419,-64.726601,5,19.56,20.56,7.304,46,533,1974,True
2011,Bouctouche (NB),Route 11,46.462419,-64.726601,3,22.733,17.3,8.487,34,201,6312,True
2012,Bouctouche (NB),Route 11,46.462419,-64.726601,3,21.2,21.14,6.713,29,203,613,True
2013,Bouctouche (NB),Route 11,46.462419,-64.726601,3,21.933,16.64,8.687,30,27,3004,True
2014,Bouctouche (NB),Route 11,46.462419,-64.726601,3,21.9,19.95,8.117,28,78,1544,True
2015,Bouctouche (NB),Route 11,46.462419,-64.726601,3,19.933,19.513,9.747,33,74,1775,True
2016,Bouctouche (NB),Route 11,46.462419,-64.726601,3,20.667,17.803,7.977,27,43,1577,True
2017,Bouctouche (NB),Route 11,46.462419,-64.726601,3,22.167,18.83,8.62,34,128,3582,True
2018,Bouctouche (NB),Route 11,46.462419,-64.726601,1,16.2,21.0,8.92,9,0,521,True
2019,Bouctouche (NB),Route 11,46.462419,-64.726601,1,0,0,0,10,6,577,False
2004,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,3,20.14,24.543,6.667,20,320,1872,True
2005,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,5,18.64,24.4,7.72,32,2,1954,True
2006,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,5,20.5,25.1,7.606,28,17,4321,True
2007,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,5,21.28,25.52,9.984,32,11576,2550,True
2008,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,5,18.02,22.08,9.04,39,2513,2544,True
2009,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,5,17.12,24.56,7.87,44,917,2250,True
2010,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,5,20.3,25.46,7.592,44,13508,5321,True
2011,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,3,20.367,20.9,8.577,27,56,1818,True
2012,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,3,21.633,23.567,8.887,19,535,1033,True
2013,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,3,18.233,24.29,9.023,26,724,1873,True
2014,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,3,21.7,21.193,9.063,19,585,649,True
2015,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,3,21.067,22.6,8.347,21,145,1480,True
2016,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,3,21.467,22.033,7.24,22,86,660,True
2017,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,3,22.967,23.383,8.007,23,347,2741,True
2018,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,1,24.2,24.76,11.9,10,21,262,False
2019,Caraquet (NB),Rue Blanchard,47.817719,-64.99786,1,23.1,22.46,9.54,5,0,1600,True
2004,Shippagan (NB),Rue Degrace,47.748023,-64.71095,5,15.82,26.75,9.026,38,963,2510,True
2005,Shippagan (NB),Rue Degrace,47.748023,-64.71095,5,17.0,26.84,8.625,34,39,575,True
2006,Shippagan (NB),Rue Degrace,47.748023,-64.71095,5,16.96,27.6,9.618,32,97,1309,True
2007,Shippagan (NB),Rue Degrace,47.748023,-64.71095,5,22.14,27.04,10.164,34,296,4694,True
2008,Shippagan (NB),Rue Degrace,47.748023,-64.71095,5,18.84,25.94,11.702,35,313,1205,True
2009,Shippagan (NB),Rue Degrace,47.748023,-64.71095,5,14.96,27.26,9.402,34,50,2571,True
2010,Shippagan (NB),Rue Degrace,47.748023,-64.71095,5,18.32,27.56,9.21,34,51,1354,True
2011,Shippagan (NB),Rue Degrace,47.748023,-64.71095,3,19.733,23.567,10.623,26,251,2127,True
2012,Shippagan (NB),Rue Degrace,47.748023,-64.71095,3,22.567,27.2,9.263,22,8,947,True
2013,Shippagan (NB),Rue Degrace,47.748023,-64.71095,3,20.867,25.427,12.293,27,133,4381,True
2014,Shippagan (NB),Rue Degrace,47.748023,-64.71095,3,21.333,22.063,9.53,22,2651,1120,True
2015,Shippagan (NB),Rue Degrace,47.748023,-64.71095,3,19.867,25.557,8.03,14,106,241,True
2016,Shippagan (NB),Rue Degrace,47.748023,-64.71095,3,19.067,23.393,7.723,20,171,741,True
2004,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,5,18.118,22.41,7.702,43,996,6823,True
2005,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,5,19.03,24.49,7.282,43,1541,2123,True
2006,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,5,19.74,25.66,6.606,30,316,1058,True
2007,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,5,20.04,26.2,7.884,31,33,2927,True
2008,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,5,19.92,13.94,9.072,39,1511,4722,True
2009,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,5,18.16,21.1,8.508,38,570,2617,True
2010,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,5,17.8,25.16,7.242,28,553,1236,True
2011,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,3,20.067,19.767,8.05,20,58,3021,True
2012,Scoudouc River (NB),Rue Dock,46.220777,-64.552474,3,24.097,25.3,8.307,29,15,1776,True
