site,province,station,station_latitude,station_longitude,seasons_in_operation_and_samples_collected,list_of_species_caught,list_of_SAV,total_number_of_fish_caught,mean_annual_number_of_fish_caught
Cheticamp,NS,Coop,46.6243,-61.017433,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",6164,560.36
Cheticamp,NS,Fiset Brook,46.598533,-61.022583,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Threespine Stickleback, Unknown species, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed",35382,2948.50
Cheticamp,NS,Gretchen Beach,46.619467,-61.026367,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Striped Bass, Threespine Stickleback, White Perch, Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",3456,288.00
Cheticamp,NS,Opposite Church,46.627867,-61.021067,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed, Widgeon grass",34706,3155.09
Cheticamp,NS,Pointe a Cochon,46.615083,-61.0237,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",24810,2067.50
Cheticamp,NS,Wharf,46.626371,-61.01588,2019(1),"Cunner, Grass Shrimp, Shorthorn Sculpin, Threespine Stickleback, Unknown species","Brown fuzzy algae, Eelgrass, Rockweed",93,93.00
Mabou,NS,Gillis Cove,46.08585,-61.458805,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",29132,1820.75
Mabou,NS,Goose Point,46.06671,-61.427544,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed, Widgeon grass",32139,2008.69
Mabou,NS,MacLean's Point,46.07815,-61.455567,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(2), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Mackerel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rainbow Trout, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, White Hake, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",25656,1603.50
Mabou,NS,MacPhee's Point,46.082867,-61.441933,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, White Perch, Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",11368,710.50
Mabou,NS,Murphy's Point,46.07235,-61.413583,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",22655,1415.94
Mabou,NS,Priest Point,46.073633,-61.405183,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",10589,661.81
Pictou,NS,Boat Harbour,45.67576,-62.63784,"2004(5), 2005(4), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Barracudina , White Perch, Windowpane Flounder , Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",9181,573.81
Pictou,NS,Boggs Brook,45.64062,-62.72919,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Salmon, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",44977,2811.06
Pictou,NS,East Side Causeway,45.669717,-62.7275,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Mackerel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, White Barracudina , Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",40243,2515.19
Pictou,NS,Lyon's Brook,45.67583,-62.74132,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",42302,2643.88
Pictou,NS,Marina,45.6829,-62.691,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Salmon, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",26259,1641.19
Pictou,NS,Power Plant,45.62596,-62.64932,"2004(5), 2005(4), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Salmon, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",65515,4094.69
Pugwash,NS,Brickyard,45.85025,-63.66695,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",7385,615.42
Pugwash,NS,Crescent Beach,45.8547,-63.66575,"2004(3), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rainbow Trout, Rock Gunnel, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",13978,873.63
Pugwash,NS,Doherty Creek,45.814,-63.659167,"2004(3), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(2), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed, Widgeon grass",16976,1061.00
Pugwash,NS,Mundle's,45.8738,-63.653333,"2007(5), 2008(4), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",6275,482.69
Pugwash,NS,Pagweak Camp,45.853717,-63.675933,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Gunnel, Sand Shrimp, Smooth Flounder, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",16780,1290.77
Pugwash,NS,Seagull Pier,45.845167000000004,-63.66395,"2004(3), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder, Yellowtail Flounder","Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",28526,1782.88
River Phillip,NS,Bergman's Point,45.861461,-63.713787,"2007(4), 2008(5), 2009(5)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Blueback Herring, Cunner, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",4559,1519.67
River Phillip,NS,Boat Launch,45.85055,-63.739472,"2005(5), 2006(3), 2007(4), 2008(5), 2009(5)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed, Widgeon grass",18544,3708.80
River Phillip,NS,Landry Beach,45.84928,-63.74701,"2007(4), 2008(5), 2009(5)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Blueback Herring, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Threespine Stickleback","Brown fuzzy algae, Eelgrass, Green algae, Rockweed, Widgeon grass",14274,4758.00
River Phillip,NS,Lobster Shed,45.853004,-63.744756,"2005(4), 2006(4), 2007(4), 2008(5), 2009(5)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Blueback Herring, Brook Trout, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",13110,2622.00
River Phillip,NS,Old MacDonald Beach,45.86107,-63.72884,"2007(4), 2008(5), 2009(5)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",5930,1976.67
River Phillip,NS,Salt Marsh City,45.853883,-63.740833,"2005(5), 2006(3), 2007(4), 2008(5), 2009(5)","Atlantic Silverside, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Eelgrass, Green algae, Rockweed, Widgeon grass",27773,5554.60
Tatamagouche,NS,Cape John,45.79205,-63.103233,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",3976,361.45
Tatamagouche,NS,Hamelton Lane,45.760967,-63.188167,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Threespine Stickleback, White Perch, Winter Flounder","Common brown algae, Eelgrass, Green algae, Rockweed",5002,454.73
Tatamagouche,NS,Island Road,45.756033,-63.339,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alosa sp. (Alewife or blueback herring), Atlantic Silverside, Blackspotted Stickleback, Brook Trout, Cunner, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed",27992,2544.73
Tatamagouche,NS,Malagash Centre,45.77285,-63.305167,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed",14702,1336.55
Tatamagouche,NS,Rollie's,45.75675,-63.084417,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(2), 2018(1), 2019(1)","Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed",8028,729.82
Tatamagouche,NS,Tim Horton,45.735417,-63.318383,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed",10515,955.91
Basin Head,PE,Across Lagoon,46.384835,-62.109143,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(4), 2011(4), 2012(5), 2013(5), 2014(5), 2015(3), 2016(3), 2017(3), 2018(1), 2019(3)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Hake, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",52361,3272.56
Basin Head,PE,Across Slipway,46.382572,-62.110019,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(4), 2011(4), 2012(5), 2013(5), 2014(5), 2015(3), 2016(3), 2017(3), 2018(1), 2019(3)","American Eel, American Sand Lance, Atlantic Silverside, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Hake, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",56554,3534.63
Basin Head,PE,Opposite House,46.385205,-62.116711,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(4), 2011(4), 2012(5), 2013(5), 2014(5), 2015(3), 2016(3), 2017(3), 2018(1), 2019(3)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Hake, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",78623,4913.94
Basin Head,PE,Shambles,46.387051,-62.114297,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(4), 2011(4), 2012(5), 2013(5), 2014(5), 2015(3), 2016(3), 2017(3), 2018(1), 2019(2)","Alewife (Gaspereau), Atlantic Mackerel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",86173,5385.81
Basin Head,PE,Slipway,46.383134,-62.11238,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(4), 2011(4), 2012(5), 2013(5), 2014(5), 2015(3), 2016(3), 2017(3), 2018(1), 2019(3)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Grubby, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Hake, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",94045,5877.81
